consensus_timestamp,transaction_id,account,amount,is_approval
2023-10-15T19:01:15.071467,0.0.3867483-1697374865-027597003,0.0.19,0.00009446,False
2023-10-15T19:01:15.071467,0.0.3867483-1697374865-027597003,0.0.70,0.00100000,False
2023-10-15T19:01:15.071467,0.0.3867483-1697374865-027597003,0.0.98,0.00198933,False
2023-10-15T19:01:15.071467,0.0.3867483-1697374865-027597003,0.0.800,0.00022103,False
2023-10-15T19:01:15.071467,0.0.3867483-1697374865-027597003,0.0.1199109,0.00100000,False
2023-10-15T19:01:15.071467,0.0.3867483-1697374865-027597003,0.0.1269586,0.00100000,False
2023-10-15T19:01:15.071467,0.0.3867483-1697374865-027597003,0.0.1465065,0.00100000,False
2023-10-15T19:01:15.071467,0.0.3867483-1697374865-027597003,0.0.1725962,0.00100000,False
2023-10-15T19:01:15.071467,0.0.3867483-1697374865-027597003,0.0.1867023,0.00100000,False
2023-10-15T19:01:15.071467,0.0.3867483-1697374865-027597003,0.0.1867054,0.00100000,False
2023-10-15T19:01:15.071467,0.0.3867483-1697374865-027597003,0.0.2939294,0.00100000,False
2023-10-15T19:01:15.071467,0.0.3867483-1697374865-027597003,0.0.3867483,-0.01130482,False
2023-10-15T19:01:15.071467,0.0.3867483-1697374865-027597003,0.0.3910142,0.00100000,False
2023-10-15T19:00:06.589967,0.0.70-1697374800-000000000,0.0.4,0.00119558,False
2023-10-15T19:00:06.589967,0.0.70-1697374800-000000000,0.0.70,"-6,132,131.26863627",False
2023-10-15T19:00:06.589967,0.0.70-1697374800-000000000,0.0.98,0.00669663,False
2023-10-15T19:00:06.589967,0.0.70-1697374800-000000000,0.0.800,0.00074406,False
2023-10-15T19:00:06.589967,0.0.70-1697374800-000000000,0.0.11219,"6,132,131.26000000",False
2023-10-06T03:50:06.492042,0.0.70-1696542600-000160000,0.0.4,0.00116201,False
2023-10-06T03:50:06.492042,0.0.70-1696542600-000160000,0.0.70,"-127,161.46926146",False
2023-10-06T03:50:06.492042,0.0.70-1696542600-000160000,0.0.98,0.00534442,False
2023-10-06T03:50:06.492042,0.0.70-1696542600-000160000,0.0.800,0.00059382,False
2023-10-06T03:50:06.492042,0.0.70-1696542600-000160000,0.0.3312814,"127,161.46216121",False
2023-10-06T03:50:06.492041,0.0.70-1696542600-000100000,0.0.4,0.00116201,False
2023-10-06T03:50:06.492041,0.0.70-1696542600-000100000,0.0.70,"-187,097.02247515",False
2023-10-06T03:50:06.492041,0.0.70-1696542600-000100000,0.0.98,0.00534442,False
2023-10-06T03:50:06.492041,0.0.70-1696542600-000100000,0.0.800,-0.25839601,False
2023-10-06T03:50:06.492041,0.0.70-1696542600-000100000,0.0.1730897,"187,097.27436473",False
2023-10-06T03:50:06.492040,0.0.70-1696542600-000120000,0.0.4,0.00116201,False
2023-10-06T03:50:06.492040,0.0.70-1696542600-000120000,0.0.70,"-82,790.32307084",False
2023-10-06T03:50:06.492040,0.0.70-1696542600-000120000,0.0.98,0.00534442,False
2023-10-06T03:50:06.492040,0.0.70-1696542600-000120000,0.0.800,-926.70893263,False
2023-10-06T03:50:06.492040,0.0.70-1696542600-000120000,0.0.1739336,"83,717.02549704",False
2023-10-06T03:50:06.492039,0.0.70-1696542600-000150000,0.0.4,0.00116201,False
2023-10-06T03:50:06.492039,0.0.70-1696542600-000150000,0.0.70,"-875,435.94808591",False
2023-10-06T03:50:06.492039,0.0.70-1696542600-000150000,0.0.98,0.00534442,False
2023-10-06T03:50:06.492039,0.0.70-1696542600-000150000,0.0.800,-0.56404145,False
2023-10-06T03:50:06.492039,0.0.70-1696542600-000150000,0.0.3300852,"875,436.50562093",False
2023-10-06T03:50:06.492038,0.0.70-1696542600-000140000,0.0.4,0.00116201,False
2023-10-06T03:50:06.492038,0.0.70-1696542600-000140000,0.0.70,"-1,616,127.20772161",False
2023-10-06T03:50:06.492038,0.0.70-1696542600-000140000,0.0.98,0.00534442,False
2023-10-06T03:50:06.492038,0.0.70-1696542600-000140000,0.0.800,0.00059382,False
2023-10-06T03:50:06.492038,0.0.70-1696542600-000140000,0.0.1775446,"1,616,127.20062136",False
2023-10-06T03:50:06.492037,0.0.70-1696542600-000070000,0.0.4,0.00116201,False
2023-10-06T03:50:06.492037,0.0.70-1696542600-000070000,0.0.70,"-480,532.10241232",False
2023-10-06T03:50:06.492037,0.0.70-1696542600-000070000,0.0.98,0.00534442,False
2023-10-06T03:50:06.492037,0.0.70-1696542600-000070000,0.0.800,0.00059382,False
2023-10-06T03:50:06.492037,0.0.70-1696542600-000070000,0.0.1261680,"480,532.09531207",False
2023-10-06T03:50:06.492036,0.0.70-1696542600-000000000,0.0.4,0.00116201,False
2023-10-06T03:50:06.492036,0.0.70-1696542600-000000000,0.0.70,"-18,368,233.11784485",False
2023-10-06T03:50:06.492036,0.0.70-1696542600-000000000,0.0.72,"18,368,233.11074460",False
2023-10-06T03:50:06.492036,0.0.70-1696542600-000000000,0.0.98,0.00534442,False
2023-10-06T03:50:06.492036,0.0.70-1696542600-000000000,0.0.800,0.00059382,False
2023-10-06T03:50:06.336451,0.0.70-1696542600-000060000,0.0.4,0.00116201,False
2023-10-06T03:50:06.336451,0.0.70-1696542600-000060000,0.0.70,"-5,025,452.62714672",False
2023-10-06T03:50:06.336451,0.0.70-1696542600-000060000,0.0.98,0.00534442,False
2023-10-06T03:50:06.336451,0.0.70-1696542600-000060000,0.0.800,0.00059382,False
2023-10-06T03:50:06.336451,0.0.70-1696542600-000060000,0.0.46450,"5,025,452.62004647",False
2023-10-06T03:50:06.336450,0.0.70-1696542600-000090000,0.0.4,0.00116201,False
2023-10-06T03:50:06.336450,0.0.70-1696542600-000090000,0.0.70,"-579,827.68654301",False
2023-10-06T03:50:06.336450,0.0.70-1696542600-000090000,0.0.98,0.00534442,False
2023-10-06T03:50:06.336450,0.0.70-1696542600-000090000,0.0.800,"-4,748.67959030",False
2023-10-06T03:50:06.336450,0.0.70-1696542600-000090000,0.0.1693502,"584,576.35962688",False
2023-10-06T03:50:06.336449,0.0.70-1696542600-000130000,0.0.4,0.00116201,False
2023-10-06T03:50:06.336449,0.0.70-1696542600-000130000,0.0.70,"-2,821,519.87543415",False
2023-10-06T03:50:06.336449,0.0.70-1696542600-000130000,0.0.98,0.00534442,False
2023-10-06T03:50:06.336449,0.0.70-1696542600-000130000,0.0.800,0.00059382,False
2023-10-06T03:50:06.336449,0.0.70-1696542600-000130000,0.0.1772960,"2,821,519.86833390",False
2023-10-06T03:50:06.336448,0.0.70-1696542600-000080000,0.0.4,0.00116201,False
2023-10-06T03:50:06.336448,0.0.70-1696542600-000080000,0.0.70,"-107,489.65331274",False
2023-10-06T03:50:06.336448,0.0.70-1696542600-000080000,0.0.98,0.00534442,False
2023-10-06T03:50:06.336448,0.0.70-1696542600-000080000,0.0.800,0.00059382,False
2023-10-06T03:50:06.336448,0.0.70-1696542600-000080000,0.0.1588047,"107,489.64621249",False
2023-10-06T03:50:06.336446,0.0.70-1696542600-000010000,0.0.4,0.00116201,False
2023-10-06T03:50:06.336446,0.0.70-1696542600-000010000,0.0.70,"-3,939,133.78516002",False
2023-10-06T03:50:06.336446,0.0.70-1696542600-000010000,0.0.98,0.00534442,False
2023-10-06T03:50:06.336446,0.0.70-1696542600-000010000,0.0.800,"-16,245.00637498",False
2023-10-06T03:50:06.336446,0.0.70-1696542600-000010000,0.0.3452,"3,955,378.78502857",False
