consensus_timestamp,transaction_id,account,amount,is_approval
2023-10-19T12:40:39.482115,0.0.3229-1697697629-049285894,0.0.10,0.00008796,False
2023-10-19T12:40:34.109397,0.0.3229-1697697622-870310579,0.0.10,0.00008847,False
2023-10-19T12:40:33.474662,0.0.3229-1697697620-540138502,0.0.10,0.00008796,False
2023-10-19T12:40:27.650084,0.0.3229-1697697614-823254675,0.0.10,0.00008847,False
2023-10-19T12:40:26.572456,0.0.3229-1697697616-853531414,0.0.10,0.00008796,False
2023-10-19T12:40:20.851599,0.0.3229-1697697610-144114683,0.0.10,0.00008847,False
2023-10-19T12:38:09.029144,0.0.2183385-1697697478-556030289,0.0.10,0.00008797,False
2023-10-19T12:35:22.331027,0.0.3229-1697697309-468385440,0.0.10,0.00008796,False
2023-10-19T12:35:12.627049,0.0.3229-1697697299-967169314,0.0.10,0.00008847,False
2023-10-19T12:35:12.255782,0.0.3229-1697697300-897849511,0.0.10,0.00008796,False
2023-10-19T12:35:06.617716,0.0.3229-1697697293-470125364,0.0.10,0.00008847,False
2023-10-19T12:35:05.461087,0.0.3229-1697697293-470034280,0.0.10,0.00008796,False
2023-10-19T12:35:00.263144,0.0.3229-1697697286-059336633,0.0.10,0.00008847,False
2023-10-19T12:31:22.289331,0.0.850229-1697697071-714482224,0.0.10,0.00099421,False
2023-10-19T12:30:46.088671,0.0.3229-1697697035-660060971,0.0.10,0.00008796,False
2023-10-19T12:30:40.948311,0.0.3229-1697697031-519902629,0.0.10,0.00008847,False
2023-10-19T12:30:40.286457,0.0.3229-1697697028-829151835,0.0.10,0.00008796,False
2023-10-19T12:30:34.083910,0.0.3229-1697697023-385637227,0.0.10,0.00008847,False
2023-10-19T12:30:33.112271,0.0.3229-1697697024-203338043,0.0.10,0.00008796,False
2023-10-19T12:30:26.393795,0.0.3229-1697697011-915264024,0.0.10,0.00008847,False
2023-10-19T12:29:46.139898,0.0.196756-1697696974-072934449,0.0.10,0.00134434,False
2023-10-19T12:28:25.830909,0.0.3916106-1697696894-335694342,0.0.10,0.00099421,False
2023-10-19T12:27:48.579334,0.0.3229-1697696859-064684168,0.0.10,0.00008796,False
2023-10-19T12:27:43.796778,0.0.3229-1697696851-686182414,0.0.10,0.00008847,False
2023-10-19T12:27:42.891306,0.0.3229-1697696849-582399229,0.0.10,0.00008796,False
2023-10-19T12:27:37.182135,0.0.3229-1697696844-081184862,0.0.10,0.00008847,False
2023-10-19T12:27:36.000855,0.0.3229-1697696844-206112623,0.0.10,0.00008796,False
2023-10-19T12:27:30.559664,0.0.3229-1697696839-329455098,0.0.10,0.00008847,False
2023-10-19T12:27:04.852664,0.0.3916198-1697696811-560050712,0.0.10,0.00097946,False
2023-10-19T12:24:35.142121,0.0.3916084-1697696660-833098040,0.0.10,0.00097938,False
2023-10-19T12:23:13.528817,0.0.2183385-1697696579-543794974,0.0.10,0.00008797,False
2023-10-19T12:22:28.124016,0.0.3916186-1697696534-706854989,0.0.10,0.00097938,False
2023-10-19T12:20:39.133797,0.0.3229-1697696426-955422260,0.0.10,0.00008796,False
2023-10-19T12:20:34.026705,0.0.3229-1697696423-209108928,0.0.10,0.00008847,False
2023-10-19T12:20:33.479897,0.0.3229-1697696423-210994026,0.0.10,0.00008796,False
2023-10-19T12:20:27.070549,0.0.3229-1697696414-624540375,0.0.10,0.00008847,False
2023-10-19T12:20:26.377385,0.0.3229-1697696416-927189397,0.0.10,0.00008796,False
2023-10-19T12:20:20.048789,0.0.3229-1697696405-799658576,0.0.10,0.00008847,False
2023-10-19T12:16:52.228308,0.0.3229-1697696198-908798146,0.0.10,0.00008796,False
2023-10-19T12:16:47.337295,0.0.3229-1697696194-453315339,0.0.10,0.00008847,False
2023-10-19T12:16:46.633731,0.0.3229-1697696195-427755707,0.0.10,0.00008796,False
