time,CONSENSUSCREATETOPIC,CONSENSUSSUBMITMESSAGE,CONTRACTCALL,CRYPTOAPPROVEALLOWANCE,CRYPTOCREATEACCOUNT,CRYPTODELETEALLOWANCE,CRYPTOTRANSFER,CRYPTOUPDATEACCOUNT,FILEUPDATE,SCHEDULECREATE,SCHEDULESIGN,TOKENASSOCIATE,TOKENBURN,TOKENDISSOCIATE,TOKENFREEZE,TOKENGRANTKYC,TOKENMINT,UTILPRNG
2023-07-01 22:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.004794450825659914,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-07-01 23:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0034509862613981766,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-07-02 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.007772985666929756,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-07-02 01:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.00365847140625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-07-02 02:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.003298180940310711,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-07-02 03:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.004224734155069583,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-07-02 04:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0036787142306006137,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-07-02 05:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.003875948216374269,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-07-02 06:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.003589934388413889,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-07-02 07:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0041085201630580055,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
