time,price
2023-09-16T00:00:00.000000000Z,1887.98
2023-09-17T00:00:00.000000000Z,1899.45
2023-09-18T00:00:00.000000000Z,1909.42
2023-09-19T00:00:00.000000000Z,1929.75
2023-09-20T00:00:00.000000000Z,1907.56
2023-09-21T00:00:00.000000000Z,1881.91
2023-09-22T00:00:00.000000000Z,1878.91
2023-09-23T00:00:00.000000000Z,1874.49
2023-09-24T00:00:00.000000000Z,1871.1
2023-09-25T00:00:00.000000000Z,1870.97
2023-09-26T00:00:00.000000000Z,1865.19
2023-09-27T00:00:00.000000000Z,1867.87
2023-09-28T00:00:00.000000000Z,1929.82
2023-09-29T00:00:00.000000000Z,1924.73
2023-09-30T00:00:00.000000000Z,1940.4
2023-10-01T00:00:00.000000000Z,1966.20
2023-10-02T00:00:00.000000000Z,1978.39
2023-10-03T00:00:00.000000000Z,1936.84
2023-10-04T00:00:00.000000000Z,1948.1
2023-10-05T00:00:00.000000000Z,1934.3
2023-10-06T00:00:00.000000000Z,1967.98
2023-10-07T00:00:00.000000000Z,1950.56
2023-10-08T00:00:00.000000000Z,1927.3
2023-10-09T00:00:00.000000000Z,1919.85
2023-10-10T00:00:00.000000000Z,1905.89
2023-10-11T00:00:00.000000000Z,1874.06
2023-10-12T00:00:00.000000000Z,1859.85
2023-10-13T00:00:00.000000000Z,1869.71
2023-10-14T00:00:00.000000000Z,1901.22
2023-10-15T00:00:00.000000000Z,1933.94
2023-10-16T00:00:00.000000000Z,1966.32
2023-10-17T00:00:00.000000000Z,1957.16
2023-10-18T00:00:00.000000000Z,1942.69
2023-10-19T00:00:00.000000000Z,1967.46
2023-10-20T00:00:00.000000000Z,2020.68
2023-10-21T00:00:00.000000000Z,2074.23
2023-10-22T00:00:00.000000000Z,2104.56
2023-10-23T00:00:00.000000000Z,2150.02
2023-10-24T00:00:00.000000000Z,2277.64
2023-10-25T00:00:00.000000000Z,2328.61
2023-10-26T00:00:00.000000000Z,2294.99
2023-10-27T00:00:00.000000000Z,2275.61
2023-10-28T00:00:00.000000000Z,2297.34
2023-10-29T00:00:00.000000000Z,2310.45
2023-10-30T00:00:00.000000000Z,2332.23
