time,staked_amount
2023-09-07T00:00:00.000000Z,27943848784
2023-09-08T00:00:00.000000Z,27957037566
2023-09-09T00:00:00.000000Z,27947277260.999996
2023-09-10T00:00:00.000000Z,27981686035.000004
2023-09-11T00:00:00.000000Z,27981724584
2023-09-12T00:00:00.000000Z,27969514208.999996
2023-09-13T00:00:00.000000Z,27998855783.000004
2023-09-14T00:00:00.000000Z,27898695880.999996
2023-09-15T00:00:00.000000Z,27890371819.000004
2023-09-16T00:00:00.000000Z,27910481755.000004
2023-09-17T00:00:00.000000Z,27917642982
2023-09-18T00:00:00.000000Z,27920787414
2023-09-19T00:00:00.000000Z,27934672976.999996
2023-09-20T00:00:00.000000Z,27937856568.999996
2023-09-21T00:00:00.000000Z,27937856568.999996
2023-09-22T00:00:00.000000Z,27940339412
2023-09-23T00:00:00.000000Z,27994302323.000004
2023-09-24T00:00:00.000000Z,27995527976
2023-09-25T00:00:00.000000Z,27997585282
2023-09-26T00:00:00.000000Z,27999488718
2023-09-27T00:00:00.000000Z,27995627982
2023-09-28T00:00:00.000000Z,27991323942
2023-09-29T00:00:00.000000Z,27989521876
2023-09-30T00:00:00.000000Z,27976546692.999996
2023-10-01T00:00:00.000000Z,28030895610
2023-10-02T00:00:00.000000Z,28029471488.999996
2023-10-03T00:00:00.000000Z,28030576820
2023-10-04T00:00:00.000000Z,28028999451.000004
2023-10-05T00:00:00.000000Z,27995809956.999996
2023-10-06T00:00:00.000000Z,27995809956.999996
2023-10-07T00:00:00.000000Z,27948904202
2023-10-08T00:00:00.000000Z,27949428327.000004
2023-10-09T00:00:00.000000Z,27951642264.999996
2023-10-10T00:00:00.000000Z,27965523575.000004
2023-10-11T00:00:00.000000Z,27956625499.000004
2023-10-12T00:00:00.000000Z,27946909008.999996
2023-10-13T00:00:00.000000Z,27950288324
2023-10-14T00:00:00.000000Z,27987475078
2023-10-15T00:00:00.000000Z,27986294190
2023-10-16T00:00:00.000000Z,27992397352
2023-10-17T00:00:00.000000Z,28004049690
2023-10-18T00:00:00.000000Z,28009031564.999996
2023-10-19T00:00:00.000000Z,28024775435.000004
2023-10-20T00:00:00.000000Z,28025114584
2023-10-21T00:00:00.000000Z,28032223880
2023-10-22T00:00:00.000000Z,28036971700.999996
2023-10-23T00:00:00.000000Z,28036844655.000004
2023-10-24T00:00:00.000000Z,28025585031.000004
2023-10-25T00:00:00.000000Z,28027467660.999996
2023-10-26T00:00:00.000000Z,28028027748
2023-10-27T00:00:00.000000Z,28039791528.999996
2023-10-28T00:00:00.000000Z,28038759708
2023-10-29T00:00:00.000000Z,28042884168.999996
2023-10-30T00:00:00.000000Z,28044594503.000004
